radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
6.25,0.2735834053645885,0.0342685070024097,4.395154482199775,7.677638487743518,8.846666924377868,6.581796283466658,2.6176194669569486,3.790576319291704,-3.5638221953419036,-2.2142266210029002,0.6501732062249821,7.6297508111853505,22.74620899311619,23.642609048307662,0.5724617653222592,6.5323960045085805,0.15308318713528882
6.750000000000001,0.2877410123896245,0.0343099747602267,4.455080018299335,7.731273762527084,8.923022579854301,6.388987065047674,2.2777061101990514,3.369456623799826,-3.523192769382089,-2.4277298613201492,0.5699571583023892,7.536231044199191,22.17363694502283,19.58808373708109,0.5762414002066232,5.315804218110983,0.1881182900967257
7.25,0.3136991149948754,0.03508239734779229,4.772468077733325,7.784539500432817,9.131018934751062,6.459776113248175,2.0791844756826334,3.1735493911971844,-3.4098902189336613,-2.4251818850578646,0.5078287271576908,7.193422115270977,18.698508964444216,17.389165175936146,0.6130700573191231,4.533133520530987,0.2205979584477065
7.75,0.3227317390959613,0.034640284997016955,4.313644199173666,7.837443235932105,8.946118865380816,6.011481588392478,2.0326894215113867,3.0888767234624726,-3.1968194161793915,-2.0180095838605525,0.44768872249066005,7.858261029272471,25.3441814155166,21.24092633372295,0.5503892110372197,4.351439687975487,0.229808999252211
8.25,0.32906509779156856,0.03364923134829719,4.207771748484936,7.88999225089081,8.9418857522597,6.0444627975199,1.9662257644805035,3.0562635285292346,-3.0929151176654837,-1.8485474668877717,0.3840693513129975,7.825503489979204,26.88145290869106,21.40755538728614,0.533304927898993,3.985841793457809,0.25088803114096436
8.75,0.3310444830770752,0.03246007043660256,4.390347136515353,7.942193586269233,9.074887709546863,6.406247173182169,1.8081839847798429,2.9366681476644354,-3.0740103350031,-2.0315596350362775,0.33038851155847004,7.235022935985813,23.13208451873559,16.74694518306795,0.5527877265678279,3.3797677556538885,0.2958783183628925
9.25,0.32832493146768976,0.03113629275713896,4.462459832699693,7.994054053134445,9.155241556774644,6.715685167063398,1.661447195780919,2.8050401873472977,-3.079922597445106,-2.2520031850493925,0.2875550357751254,6.827817381376677,21.407160239078323,13.374425918821675,0.5582223741594512,2.8785355565367463,0.34739887014045795
9.75,0.32430538154021443,0.03012289472180489,4.44878688567373,8.045580243033708,9.19364270576342,6.854296524117078,1.4933571606843365,2.602276998977747,-3.154256426113803,-2.586340151397673,0.2568114071156065,6.625892979103804,21.17227842851599,10.649608832375153,0.552947923119122,2.4239043153093003,0.41255753937316453
10.25,0.32459696505110675,0.029555615207385776,4.557761102487963,8.09677853777374,9.291448162536653,7.0325594015265915,1.269635396545297,2.301106218673725,-3.4228459606543624,-3.3037873256812067,0.235487371370177,6.3456740552543165,19.5654936052064,7.608709200814851,0.5629104317506932,1.8894994254680677,0.5292407007492366
10.75,0.3338515113903624,0.029478278340077612,4.751296976747119,8.147655118646872,9.431813552740474,7.249627934070652,1.1252816669659167,2.1205187398159406,-3.6084581995565483,-3.8137033444027617,0.21940290925292144,6.071265894573746,17.44262393291568,6.0726289684525705,0.5831490051503547,1.5465290712346018,0.6466092481544463
11.25,0.3365276495851643,0.029323150236095316,4.367851828398716,8.19821597514189,9.289180521979196,6.722564827261083,1.1169058808515926,2.0554060616199905,-3.413730303712263,-3.4481178664389645,0.20798078406709486,6.569495855465261,22.611355650276757,7.020092711953786,0.532780771041241,1.5679440790320498,0.6377778476751143
11.75,0.3390460713699944,0.029193777761263,3.831065840996809,8.248466913174276,9.09473869310072,5.989149524568688,1.1551294237964693,2.037186916464693,-3.0838190910022036,-2.7860533590166896,0.197369042507075,7.456928802531271,33.77216327117293,9.516564215904925,0.4644579267061024,1.7049255372944558,0.5865358797938465
12.25,0.34141766467013995,0.0290759257513619,3.2390885109349363,8.298413562867898,8.908162663650714,5.171068449888361,1.181655699255563,1.9853091296602556,-2.814286431959203,-2.198469045050009,0.18710008381386484,8.78415621017006,56.32954074589204,13.675848893204714,0.39032623361030955,1.8321859868007901,0.545796118518577
12.75,0.3467025124710584,0.029079762540173932,2.8268678578264796,8.348061385917632,8.813700175786641,4.567579890964607,1.1668435755496418,1.8964338235627465,-2.6553408715969864,-1.8590077348515752,0.17722190087189807,10.066411107238393,85.76825159927382,17.82496308860199,0.3386256673429751,1.8519616270673758,0.5399679914445761
13.25,0.35547459564362116,0.02921183456148582,2.69647212592482,8.397415682560208,8.819725169845013,4.329955686517815,1.1250027374275189,1.819319080901802,-2.5821086563530318,-1.7474934639661677,0.16788431342576313,10.601131262290833,100.44846099957014,19.221971267187584,0.32110737730000266,1.7731030714639353,0.5639830058916797
13.749999999999998,0.3760261940657235,0.030211039857306207,2.6238809913108447,8.446481598178453,8.844648260102241,4.027264925209471,1.0676876385122989,1.712218940403686,-2.5034299362321613,-1.642601611832511,0.16362755525072412,11.26706644147099,114.06854744438735,20.950661491362602,0.3106478077069042,1.6855619208795887,0.5932739625953124
14.25,0.4030212364951586,0.031705258838827764,2.4939216958015664,8.495264129562209,8.853765190912627,3.594652552441923,0.9924944156680013,1.559177473580719,-2.413638503555168,-1.5434084991075454,0.16236797484024482,12.440499109960276,141.0319764620992,23.77456028751957,0.2935661161049841,1.5858490073518203,0.6305770570616186
14.75,0.4436158732855825,0.03419123171489642,2.2403798861344493,8.543768130847504,8.832625651972421,2.9550757895143507,0.9063126657621943,1.3617818918555271,-2.279003723730883,-1.3692631173166687,0.16624425066049262,14.934214886730702,212.1922975524774,31.17683019950255,0.2622238632677188,1.4995474005179876,0.6668678827055221
15.249999999999998,0.513070849579276,0.038091974181587926,2.58692413660246,8.591998319153966,8.97299345842183,2.9101123389357153,0.8384080135537074,1.2811215399840787,-2.2284499794687833,-1.3783977239931497,0.17336783924235719,14.409174577543084,155.29294505189193,29.037191927343017,0.3010852703305915,1.3807636557284382,0.72423690749047
15.75,0.6081776254794153,0.04302561061244814,3.1088928519479535,8.639959279938978,9.182271566660221,2.9492695859188243,0.8120637639608066,1.2738040107314803,-2.1658492300478747,-1.2627579793424244,0.18133990547049006,13.542866673008852,102.19134792816439,28.952417768121922,0.3598272574231288,1.3315242715782918,0.7510189797852298
16.25,0.72554925283533,0.04903524420560294,3.3815055147312254,8.687655472085824,9.322549927343937,2.7299322123943477,0.805800174613509,1.2602258914086453,-2.1096762767542043,-0.9933040714716895,0.19138812531259722,14.190168656673372,91.50907779193918,37.387116664167614,0.38923107915550864,1.3539949861491591,0.7385551720867581
16.75,0.859682773960309,0.05538085346959426,3.772228260816973,8.735091232741755,9.514805562702168,2.602250964109047,0.7856205214344052,1.2381823197054123,-2.099372254759573,-0.8331504973471506,0.19912482347705868,14.366500580141452,75.26301267749517,43.61503307723842,0.4318476087207337,1.3314396284087129,0.7510667240655611
