h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
2.1335760870806638e+20,2.58871471027564e+19,104857.63643184426,34146.624572116394,32992.32312265362,19110356342370.113,399751103464548.8,2.9519299047389864e-06,1.2589799129785214e-06,4.2312982360598293e-07,-0.06875100434060737,-0.1237460872087069,5.95839808891341
2.2904743313404553e+20,2.611747389906384e+19,106640.43191433453,33909.73429399254,28675.546524428843,18947631625462.32,388712353926197.94,2.957353123557141e-06,1.1392375609230748e-06,3.675683145313022e-07,-0.07350989336449822,-0.13512829986347327,5.115309260242139
2.5437458140846876e+20,2.689044958737034e+19,114579.93305191597,33677.70682219971,25810.051613261276,18147034041504.016,327049141443237.56,3.046118898793605e-06,1.0986128103180802e-06,3.5166360430474796e-07,-0.07180210318861027,-0.1444290009462297,4.720575279176774
2.729486063883913e+20,2.697141837244831e+19,104275.69527117425,33450.378031379776,22606.845184519825,19990163373574.484,441057872495030.3,2.7526100118259652e-06,1.0534847384895305e-06,3.480969846979661e-07,-0.05585958008361884,-0.13692357249792517,6.18775550678012
2.9060868207572654e+20,2.662566115938956e+19,102434.87808875566,33227.59144811707,19253.107822261492,20078729746070.695,465396350583241.7,2.742984893871254e-06,1.0488808340272319e-06,3.3770752415993437e-07,-0.04783915518656503,-0.13381904496400987,6.707989693266618
3.024966640833856e+20,2.6013255951670178e+19,107473.55468557353,33009.197798282206,16419.990271229464,18688434871189.78,398848173614542.06,2.9604050967084994e-06,1.0313969483408265e-06,3.089218891035867e-07,-0.05006912962326844,-0.14007022788623413,5.560960266949746
3.111918391409096e+20,2.529503939740161e+19,109890.84778520696,32795.05458667934,14248.126663811148,17764684919740.15,367492506624270.2,3.1337058924862574e-06,1.001830409564923e-06,2.889768062700431e-07,-0.05285721701256873,-0.14980725892649033,4.743211901212452
3.1579207833304256e+20,2.4719272738906726e+19,110035.48699310326,32585.02570630703,12638.603337447059,17329967695256.002,362280686671417.6,3.226968077168868e-06,9.418174506162085e-07,2.608137819052335e-07,-0.05872756694747837,-0.16116769551478496,3.9626069653157705
3.2132465841673535e+20,2.4403199238028198e+19,113031.72479407564,32378.98107479835,11577.621670693266,16647896469196.145,334114596331113.44,3.3629767123186056e-06,8.512275219191972e-07,2.2724757290505701e-07,-0.07471030244415969,-0.18797248291224117,2.9365134728781417
3.371386066241966e+20,2.452090452064736e+19,118212.82730530752,32176.796295833974,10761.049747781193,15988568549600.805,297144605451045.6,3.4846555941086535e-06,7.984228535389377e-07,2.0509133217917837e-07,-0.08519445758037025,-0.20894176475714837,2.4420737919507087
3.4951557055364596e+20,2.4648443038498378e+19,109169.6647157796,31978.35234352581,10049.886951119786,17396275248358.809,383900997613783.2,3.1868758038550848e-06,7.599334400355816e-07,2.0286031585971336e-07,-0.0733888741639878,-0.20136467326572471,2.9438668356017264
3.636903661011208e+20,2.48369237478357e+19,96257.77699970805,31783.535267951946,9372.126579510263,19873199667074.918,571180144624531.6,2.773738294907381e-06,7.297543894858179e-07,2.0480469151675183e-07,-0.05564273814364931,-0.18249467455646085,4.174743027578206
3.7787661662172224e+20,2.502689864890053e+19,81799.41816635698,31592.23592018786,8773.466518950627,23556210891482.1,949127057710824.6,2.3268033664367196e-06,6.860925632886721e-07,2.0571909468208169e-07,-0.0414438146976869,-0.16687145409009566,6.286398302627214
3.940222156501523e+20,2.527848981830796e+19,71697.28692469337,31404.349695326506,8233.462141660812,27135965305707.254,1440574127709060.0,2.006861110072698e-06,6.379064897024726e-07,2.0118647633195414e-07,-0.03353459312543558,-0.1592172810668987,8.544045870402107
4.1298584964307806e+20,2.560261002079126e+19,68635.18596971122,31219.776292112798,7738.794275055401,28700388361485.652,1682681897928131.0,1.8835822970479784e-06,6.068282926518859e-07,1.9264713713003654e-07,-0.030467467616872676,-0.15752196784131137,9.549235105500365
4.401332906775572e+20,2.655219154960397e+19,66867.60303068055,31038.419487937714,7540.823646923725,30541714922917.23,1909058005999051.0,1.7429678527344063e-06,5.673811612515646e-07,1.8453589704063072e-07,-0.02835243862808072,-0.15877407507594432,10.552715097592516
4.710196384125983e+20,2.7849942139986997e+19,63538.814337089505,30860.186928045485,7497.163998370482,33702118878595.996,2360610296392972.0,1.54944087091668e-06,5.106333396201282e-07,1.7471283671021772e-07,-0.026821451247608426,-0.16370025696998838,11.976434279551958
5.1118696455482756e+20,2.987604735497524e+19,56946.48673408254,30684.989927904768,7692.821750710128,40327005996459.97,3557424616291550.5,1.2605470560443319e-06,4.3387456458020777e-07,1.6278118603932794e-07,-0.024471973593597925,-0.16974739502267927,15.378380742599175
5.783345884952054e+20,3.301250136732764e+19,65517.504437897034,30512.743287783167,8041.021723274915,38719788137175.66,2610127859188580.5,1.265212888600866e-06,4.1586971235274543e-07,1.5021377822587202e-07,-0.025464138007308422,-0.173338704324099,13.79714696523273
6.72561038539425e+20,3.702386308168373e+19,78490.23211664397,30343.365118644517,8441.689305962487,36237170254172.305,1721390596461739.8,1.2962669246547805e-06,4.2192782429823264e-07,1.4218120539828352e-07,-0.02374856814616698,-0.16422591371041065,13.272298490981001
