h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
2.1335760870806638e+20,2.58871471027564e+19,104857.63643184426,34146.624572116394,32992.32312265362,19110356342370.113,399751103464548.8,2.530225632633417e-06,1.0791256396958754e-06,3.626827059479854e-07,-0.06875100434060737,-0.1237460872087069,5.95839808891341
2.2904743313404553e+20,2.611747389906384e+19,106640.43191433453,33909.73429399254,28675.546524428843,18947631625462.32,388712353926197.94,2.5348741059061207e-06,9.764893379340642e-07,3.1505855531254474e-07,-0.07350989336449822,-0.13512829986347327,5.115309260242139
2.5437458140846876e+20,2.689044958737034e+19,114579.93305191597,33677.70682219971,25810.051613261276,18147034041504.016,327049141443237.56,2.610959056108805e-06,9.41668123129783e-07,3.014259465469268e-07,-0.07180210318861027,-0.1444290009462297,4.720575279176774
2.729486063883913e+20,2.697141837244831e+19,104275.69527117425,33450.378031379776,22606.845184519825,19990163373574.484,441057872495030.3,2.3593800101365412e-06,9.029869187053118e-07,2.9836884402682805e-07,-0.05585958008361884,-0.13692357249792517,6.18775550678012
2.9060868207572654e+20,2.662566115938956e+19,102434.87808875566,33227.59144811707,19253.107822261492,20078729746070.695,465396350583241.7,2.351129909032503e-06,8.990407148804845e-07,2.894635921370866e-07,-0.04783915518656503,-0.13381904496400987,6.707989693266618
3.024966640833856e+20,2.6013255951670178e+19,107473.55468557353,33009.197798282206,16419.990271229464,18688434871189.78,398848173614542.06,2.537490082893e-06,8.840545271492798e-07,2.6479019066021727e-07,-0.05006912962326844,-0.14007022788623413,5.560960266949746
3.111918391409096e+20,2.529503939740161e+19,109890.84778520696,32795.05458667934,14248.126663811148,17764684919740.15,367492506624270.2,2.6860336221310775e-06,8.587117796270768e-07,2.476944053743226e-07,-0.05285721701256873,-0.14980725892649033,4.743211901212452
3.1579207833304256e+20,2.4719272738906726e+19,110035.48699310326,32585.02570630703,12638.603337447059,17329967695256.002,362280686671417.6,2.765972637573316e-06,8.072721005281787e-07,2.2355467020448584e-07,-0.05872756694747837,-0.16116769551478496,3.9626069653157705
3.2132465841673535e+20,2.4403199238028198e+19,113031.72479407564,32378.98107479835,11577.621670693266,16647896469196.145,334114596331113.44,2.882551467701662e-06,7.296235902164546e-07,1.9478363391862033e-07,-0.07471030244415969,-0.18797248291224117,2.9365134728781417
3.371386066241966e+20,2.452090452064736e+19,118212.82730530752,32176.796295833974,10761.049747781193,15988568549600.805,297144605451045.6,2.9868476520931313e-06,6.84362445890518e-07,1.7579257043929566e-07,-0.08519445758037025,-0.20894176475714837,2.4420737919507087
3.4951557055364596e+20,2.4648443038498378e+19,109169.6647157796,31978.35234352581,10049.886951119786,17396275248358.809,383900997613783.2,2.731607831875787e-06,6.513715200304985e-07,1.7388027073689716e-07,-0.0733888741639878,-0.20136467326572471,2.9438668356017264
3.636903661011208e+20,2.48369237478357e+19,96257.77699970805,31783.535267951946,9372.126579510263,19873199667074.918,571180144624531.6,2.3774899670634693e-06,6.255037624164153e-07,1.7554687844293016e-07,-0.05564273814364931,-0.18249467455646085,4.174743027578206
3.7787661662172224e+20,2.502689864890053e+19,81799.41816635698,31592.23592018786,8773.466518950627,23556210891482.1,949127057710824.6,1.9944028855171887e-06,5.880793399617188e-07,1.763306525846414e-07,-0.0414438146976869,-0.16687145409009566,6.286398302627214
3.940222156501523e+20,2.527848981830796e+19,71697.28692469337,31404.349695326506,8233.462141660812,27135965305707.254,1440574127709060.0,1.7201666657765979e-06,5.467769911735479e-07,1.7244555114167496e-07,-0.03353459312543558,-0.1592172810668987,8.544045870402107
4.1298584964307806e+20,2.560261002079126e+19,68635.18596971122,31219.776292112798,7738.794275055401,28700388361485.652,1682681897928131.0,1.61449911175541e-06,5.201385365587593e-07,1.6512611754003128e-07,-0.030467467616872676,-0.15752196784131137,9.549235105500365
4.401332906775572e+20,2.655219154960397e+19,66867.60303068055,31038.419487937714,7540.823646923725,30541714922917.23,1909058005999051.0,1.4939724452009197e-06,4.863267096441982e-07,1.5817362603482633e-07,-0.02835243862808072,-0.15877407507594432,10.552715097592516
4.710196384125983e+20,2.7849942139986997e+19,63538.814337089505,30860.186928045485,7497.163998370482,33702118878595.996,2360610296392972.0,1.32809217507144e-06,4.3768571967439565e-07,1.4975386003732946e-07,-0.026821451247608426,-0.16370025696998838,11.976434279551958
5.1118696455482756e+20,2.987604735497524e+19,56946.48673408254,30684.989927904768,7692.821750710128,40327005996459.97,3557424616291550.5,1.0804689051808558e-06,3.718924839258924e-07,1.395267308908525e-07,-0.024471973593597925,-0.16974739502267927,15.378380742599175
5.783345884952054e+20,3.301250136732764e+19,65517.504437897034,30512.743287783167,8041.021723274915,38719788137175.66,2610127859188580.5,1.0844681902293138e-06,3.564597534452103e-07,1.2875466705074744e-07,-0.025464138007308422,-0.173338704324099,13.79714696523273
6.72561038539425e+20,3.702386308168373e+19,78490.23211664397,30343.365118644517,8441.689305962487,36237170254172.305,1721390596461739.8,1.1110859354183832e-06,3.616524208270565e-07,1.2186960462710014e-07,-0.02374856814616698,-0.16422591371041065,13.272298490981001
7.869211006079536e+20,4.189111106333649e+19,85100.89328862053,30176.776678560655,8936.429155949032,37805603405097.52,1544903874913766.0,1.0181255252912089e-06,3.569629633211376e-07,1.1719336931208624e-07,-0.01895678174005267,-0.14726844662741304,16.500651539356653
9.172920203445288e+20,4.702534080590625e+19,94679.4377260253,30012.90221889547,9332.274127554518,38135440323729.734,1273015350433651.0,9.675498793549293e-07,3.528869649334091e-07,1.1229844571030982e-07,-0.016148252331584415,-0.13709646219335334,18.675698075222506
