h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
2.1335760870806638e+20,2.58871471027564e+19,104857.63643184426,34146.624572116394,21994.882081769083,19110356342370.113,399751103464548.8,3.3736341768445563e-06,1.4388341862611672e-06,3.799460389966742e-07,-0.06875100434060737,-0.1237460872087069,3.9722653926089393
2.2904743313404553e+20,2.611747389906384e+19,106640.43191433453,33909.73429399254,19117.031016285895,18947631625462.32,388712353926197.94,3.379832141208161e-06,1.3019857839120857e-06,3.274641789073464e-07,-0.07350989336449822,-0.13512829986347327,3.410206173494759
2.5437458140846876e+20,2.689044958737034e+19,114579.93305191597,33677.70682219971,17206.701075507517,18147034041504.016,327049141443237.56,3.481278741478406e-06,1.2555574975063772e-06,3.116151509075864e-07,-0.07180210318861027,-0.1444290009462297,3.1470501861178497
2.729486063883913e+20,2.697141837244831e+19,104275.69527117425,33450.378031379776,15071.230123013222,19990163373574.484,441057872495030.3,3.1458400135153884e-06,1.2039825582737493e-06,3.129749607724487e-07,-0.05585958008361884,-0.13692357249792517,4.125170337853414
2.9060868207572654e+20,2.662566115938956e+19,102434.87808875566,33227.59144811707,12835.405214840992,20078729746070.695,465396350583241.7,3.134839878710004e-06,1.1987209531739792e-06,3.0465318996168663e-07,-0.04783915518656503,-0.13381904496400987,4.471993128844411
3.024966640833856e+20,2.6013255951670178e+19,107473.55468557353,33009.197798282206,10946.66018081964,18688434871189.78,398848173614542.06,3.3833201105239993e-06,1.1787393695323731e-06,2.7632603703725405e-07,-0.05006912962326844,-0.14007022788623413,3.707306844633163
3.111918391409096e+20,2.529503939740161e+19,109890.84778520696,32795.05458667934,9498.751109207431,17764684919740.15,367492506624270.2,3.5813781628414365e-06,1.144949039502769e-06,2.5604634934829445e-07,-0.05285721701256873,-0.14980725892649033,3.1621412674749676
3.1579207833304256e+20,2.4719272738906726e+19,110035.48699310326,32585.02570630703,8425.73555829804,17329967695256.002,362280686671417.6,3.6879635167644204e-06,1.0763628007042384e-06,2.2792335895464734e-07,-0.05872756694747837,-0.16116769551478496,2.64173797687718
3.2132465841673535e+20,2.4403199238028198e+19,113031.72479407564,32378.98107479835,7718.414447128842,16647896469196.145,334114596331113.44,3.843401956935549e-06,9.728314536219395e-07,1.915840356131699e-07,-0.07471030244415969,-0.18797248291224117,1.957675648585427
3.371386066241966e+20,2.452090452064736e+19,118212.82730530752,32176.796295833974,7174.033165187463,15988568549600.805,297144605451045.6,3.982463536124175e-06,9.124832611873573e-07,1.6668026865200186e-07,-0.08519445758037025,-0.20894176475714837,1.628049194633806
3.4951557055364596e+20,2.4648443038498378e+19,109169.6647157796,31978.35234352581,6699.924634079858,17396275248358.809,383900997613783.2,3.642143775834383e-06,8.684953600406648e-07,1.7102058832914424e-07,-0.0733888741639878,-0.20136467326572471,1.9625778904011508
3.636903661011208e+20,2.48369237478357e+19,96257.77699970805,31783.535267951946,6248.084386340173,19873199667074.918,571180144624531.6,3.169986622751293e-06,8.340050165552205e-07,1.7972283239313568e-07,-0.05564273814364931,-0.18249467455646085,2.7831620183854695
3.7787661662172224e+20,2.502689864890053e+19,81799.41816635698,31592.23592018786,5848.977679300417,23556210891482.1,949127057710824.6,2.659203847356251e-06,7.841057866156252e-07,1.8504473417368799e-07,-0.0414438146976869,-0.16687145409009566,4.190932201751475
3.940222156501523e+20,2.527848981830796e+19,71697.28692469337,31404.349695326506,5488.974761107209,27135965305707.254,1440574127709060.0,2.293555554368797e-06,7.290359882313973e-07,1.8297424458020427e-07,-0.03353459312543558,-0.1592172810668987,5.696030580268072
4.1298584964307806e+20,2.560261002079126e+19,68635.18596971122,31219.776292112798,5159.196183370268,28700388361485.652,1682681897928131.0,2.1526654823405467e-06,6.935180487450123e-07,1.7574121258408048e-07,-0.030467467616872676,-0.15752196784131137,6.366156737000244
4.401332906775572e+20,2.655219154960397e+19,66867.60303068055,31038.419487937714,5027.215764615817,30541714922917.23,1909058005999051.0,1.991963260267893e-06,6.484356128589309e-07,1.6873675477010112e-07,-0.02835243862808072,-0.15877407507594432,7.03514339839501
4.710196384125983e+20,2.7849942139986997e+19,63538.814337089505,30860.186928045485,4998.109332246987,33702118878595.996,2360610296392972.0,1.7707895667619198e-06,5.835809595658609e-07,1.6016694993311175e-07,-0.026821451247608426,-0.16370025696998838,7.984289519701304
5.1118696455482756e+20,2.987604735497524e+19,56946.48673408254,30684.989927904768,5128.54783380675,40327005996459.97,3557424616291550.5,1.4406252069078078e-06,4.958566452345233e-07,1.498492416765355e-07,-0.024471973593597925,-0.16974739502267927,10.252253828399445
5.783345884952054e+20,3.301250136732764e+19,65517.504437897034,30512.743287783167,5360.681148849943,38719788137175.66,2610127859188580.5,1.4459575869724183e-06,4.7527967126028055e-07,1.3805010246943722e-07,-0.025464138007308422,-0.173338704324099,9.198097976821822
6.72561038539425e+20,3.702386308168373e+19,78490.23211664397,30343.365118644517,5627.792870641656,36237170254172.305,1721390596461739.8,1.481447913891178e-06,4.822032277694087e-07,1.3059170305870626e-07,-0.02374856814616698,-0.16422591371041065,8.848198993987332
7.869211006079536e+20,4.189111106333649e+19,85100.89328862053,30176.776678560655,5957.619437299356,37805603405097.52,1544903874913766.0,1.3575007003882781e-06,4.759506177615168e-07,1.2600387813947737e-07,-0.01895678174005267,-0.14726844662741304,11.000434359571102
9.172920203445288e+20,4.702534080590625e+19,94679.4377260253,30012.90221889547,6221.516085036345,38135440323729.734,1273015350433651.0,1.2900665058065722e-06,4.705159532445454e-07,1.20930030551502e-07,-0.016148252331584415,-0.13709646219335334,12.450465383481669
