h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
1.8582704189928497e+19,1.685773449572743e+19,256672.20094683074,8449.73263076741,9400159.754348807,3470536815213.668,12066898092089.984,5.077751541076973e-07,3.1285071550663857e-07,4.394829164119153e-06,-3.4111142148399307,0.3618534044749065,1.53879834949348
2.3559091211201413e+19,1.851121514082477e+19,260438.48317808987,8936.50113626029,6020782.538257993,3716336502704.733,15198055540818.506,5.181850856863812e-07,2.546812250518821e-07,0.0,-4.626235651407761,0.4585101179212227,0.8831609162489381
3.750644489979928e+19,2.3165178445115433e+19,278756.56757633993,9749.077960671422,4242279.561276422,4293061849965.175,19538241665375.49,4.6170974618806715e-07,2.2690154166810659e-07,1.7472596691707992e-06,-2.352752991809821,0.39433965342673877,1.2107335887433424
5.206805251700105e+19,2.6786110759530656e+19,288414.5938989573,10861.392508023922,3043606.214218428,4732156788474.96,26308875526865.56,4.6358292673865445e-07,2.0185399797740735e-07,7.757380107565714e-07,-2.3886982855158996,0.45897615701881783,1.0502280527542767
7.55669243764644e+19,2.991490170411433e+19,324437.85863774276,12094.84183602584,2055446.663586583,4625411123673.705,26266751698890.367,4.782277575326244e-07,1.7966197114632908e-07,0.0,-2.298100645246482,0.5404751237442071,0.9521577009961069
1.5818050781144826e+20,3.999384968160474e+19,411565.7148177436,13483.928228742621,1419998.7711713945,4787652248308.016,21544329863432.016,3.8006451785645476e-07,1.4130740556245041e-07,1.192339839179944e-06,-0.8268696175778583,0.48743576257655863,1.9719749593294396
5.823794153493313e+20,7.0460687045687984e+19,600359.2625111181,15929.489698151116,987791.9925033529,5613179145782.336,16027699272633.371,2.1393200631835697e-07,8.594065792341397e-08,1.186468167292585e-06,-0.15475296235769795,0.44939785909906005,9.250047098145219
2.538124682481639e+21,1.3255093955366548e+20,876210.5796016492,19448.57752584703,688195.5779440037,6906765286677.63,12238236336877.822,1.0496605340000944e-07,5.059593920102509e-08,9.645759244225832e-07,-0.019365619287754723,0.3901567606915199,66.46047887108989
3.6438413464496924e+21,1.5087102825729173e+20,909959.1197412604,20891.15014396718,548961.8969879689,7373087299417.666,13499740224034.693,9.085890163066994e-08,4.7973558647212443e-08,8.93377919700781e-07,-0.010539982078777972,0.37429093991358237,107.02128357778717
1.3864108619105428e+21,9.868645481505432e+19,666714.0370166544,18855.094171396606,544175.9882068896,6693950753433.416,22079251582251.473,1.5885581728003296e-07,7.74851099972255e-08,9.73448117964274e-07,-0.037315478349002236,0.40603274983430704,25.656673444881232
